,sh1_date,neck1_date,head_date,neck2_date,sh2_date,sh1_price,neck1_price,head_price,neck2_price,sh2_price,confirmation_date,time_for_confirmation,signal,stoploss,head_length,target
0,1981-02-24,1981-03-02,1981-03-11,1981-03-23,1981-04-01,0.0826416388154029,0.0930806738754091,0.0752470716834068,0.0939504866595263,0.0843813419342041,1981-04-08,7,1,0.08353752851486206,0.018703414976119492,0.11265390163564579
2,1987-03-16,1987-03-20,1987-03-31,1987-04-06,1987-04-14,0.2174777138105212,0.2427050322938211,0.2166077455151798,0.2531439496186863,0.2313960368081096,1987-04-21,7,1,0.2290820764400285,0.0365362041035065,0.2896801537221928
4,1988-04-04,1988-04-07,1988-04-15,1988-05-04,1988-05-11,0.2698039610339325,0.2969595817298406,0.2698039533565479,0.3022158890346892,0.276812195777893,1988-06-06,26,1,0.2740440738201141,0.032411935678141324,0.33462782471283053
5,1988-05-11,1988-05-17,1988-05-23,1988-06-14,1988-06-21,0.276812195777893,0.2949140385265047,0.2624379489291916,0.3230009014248352,0.308079687366927,1988-06-28,7,1,0.30499889049325773,0.060562952495643585,0.38356385392047876
7,1991-06-20,1991-06-26,1991-06-28,1991-07-10,1991-07-17,0.2952317803410125,0.3151557878759191,0.2916095749761222,0.3495695740000681,0.3060994252426003,1991-08-01,15,1,0.3030384309901743,0.057959999023945885,0.407529573024014
10,1993-09-15,1993-09-22,1993-10-04,1993-11-02,1993-11-09,0.1740437888709302,0.1888567358255386,0.1629352568677722,0.2444025456366038,0.2203324716037896,1993-11-16,7,1,0.2181291468877517,0.08146728876883161,0.3258698344054354
11,1995-03-14,1995-03-22,1995-04-04,1995-04-12,1995-04-19,0.2607571785642562,0.2985481747700566,0.2541434484802443,0.2994929680402676,0.2692596355414186,1995-05-08,19,1,0.2665670391860044,0.04534951956002331,0.3448424876002909
15,2003-03-31,2003-04-07,2003-04-17,2003-05-16,2003-05-20,0.2140676247900562,0.2279423693638668,0.1939419772633389,0.2898451023726951,0.2683474193137369,2003-06-18,29,1,0.26566394512059954,0.09590312510935622,0.38574822748205134
16,2003-05-20,2003-05-27,2003-06-09,2003-06-23,2003-06-27,0.2683474193137369,0.288168223220772,0.2535573954285977,0.3002132604667951,0.2817645100936443,2003-07-07,10,1,0.2789468649927078,0.04665586503819741,0.3468691255049925
17,2004-01-22,2004-01-28,2004-02-04,2004-02-13,2004-02-23,0.3381780683994293,0.3564748575918115,0.3308598600340198,0.367452536022618,0.3337569490179958,2004-03-04,10,1,0.33041937952781586,0.03659267598859822,0.40404521201121624
22,2007-10-11,2007-11-07,2007-11-12,2007-12-11,2007-12-18,4.671985924538812,5.875585683912118,4.593311990244178,6.002134388343915,5.446227629433164,2007-12-24,6,1,5.391765353138832,1.408822398099737,7.410956786443652
23,2008-12-24,2009-01-06,2009-01-20,2009-02-09,2009-02-23,2.5782677494006023,2.963100889597196,2.3846304416656494,3.1408818419432074,2.638035725099249,2009-03-23,28,1,2.6116553678482566,0.756251400277558,3.8971332422207654
31,2014-03-14,2014-03-26,2014-04-15,2014-05-06,2014-05-09,16.592925026368857,17.417810269042292,16.22268080978519,19.175770230252617,18.51463329756549,2014-05-19,10,1,18.329486964589833,2.9530894204674283,22.128859650720045
32,2014-12-16,2014-12-29,2015-01-06,2015-01-09,2015-01-16,23.95200789279541,25.870245992366858,23.584590688288745,25.52761894747597,23.71307583114011,2015-01-28,12,1,23.475945072828708,1.9430282591872228,27.47064720666319
34,2017-11-15,2017-11-24,2017-12-06,2017-12-18,2017-12-29,40.094528613124965,41.78993737504179,39.63733610908869,42.19473543214189,40.29454852077332,2018-01-17,19,1,39.89160303556559,2.557399323053197,44.75213475519509
35,2017-12-29,2018-01-18,2018-02-09,2018-02-28,2018-03-02,40.29454852077332,42.88528372905411,35.920905664628286,43.18445625633037,41.23108858752302,2018-03-12,10,1,40.81877770164779,7.263550591702085,50.448006848032456
36,2018-04-02,2018-04-17,2018-04-27,2018-05-11,2018-05-23,39.32316377983915,42.78278746739021,38.40504208612168,45.616703612623226,44.58463875164362,2018-06-01,9,1,44.13879236412718,7.211661526501544,52.82836513912477
39,2021-02-23,2021-03-02,2021-03-08,2021-03-16,2021-03-30,117.35482836100644,127.5945067338709,115.1938851267912,126.10761247922308,117.82072371125628,2021-04-07,8,1,116.64251647414372,10.913727352431877,137.02133983165496
