Date,Open,High,Low,Close,signal
1993-01-29,25.352046756283148,25.352046756283148,25.225917170431,25.334028244018555,0.0
1993-02-01,25.35203557903484,25.51420211791992,25.35203557903484,25.51420211791992,0.0
1993-02-02,25.496201384143145,25.58629396853941,25.442145833505386,25.56827545166016,0.0
1993-02-03,25.6043060919896,25.85656526530969,25.5862875796096,25.838546752929688,0.0
1993-02-04,25.92864629295137,26.00072036186854,25.6403500172827,25.946664810180664,0.0
1993-02-05,25.928634643554688,25.98269017095612,25.7844865704842,25.928634643554688,0.0
1993-02-08,25.928634643554688,26.018727189223743,25.892597625287067,25.928634643554688,0.0
1993-02-09,25.838541870437524,25.838541870437524,25.69439379863592,25.748449325561523,0.0
1993-02-10,25.74845546613116,25.80251100594809,25.67638141304192,25.78449249267578,0.0
1993-02-11,25.820517673943403,26.01872122901205,25.820517673943403,25.91061019897461,0.0
1993-02-12,25.87456886168536,25.87456886168536,25.71240234375,25.71240234375,0.0
1993-02-16,25.64034753082297,25.64034753082297,25.02771800443648,25.06375503540039,0.0
1993-02-17,25.063743375874253,25.099780390073928,24.955632333275226,25.04572486877441,0.0
1993-02-18,25.33401497222264,25.33401497222264,24.685348870515654,25.027700424194336,0.0
1993-02-19,25.027718623365185,25.11781120300293,24.991681591510087,25.11781120300293,0.0
1993-02-22,25.189882487037337,25.243938028855013,25.11780843128044,25.20790100097656,0.0
1993-02-23,25.27998441824415,25.29800293885587,25.0637621709035,25.189891815185547,0.0
1993-02-24,25.20788754447032,25.51420211791992,25.20788754447032,25.51420211791992,0.0
1993-02-25,25.496201384143145,25.58629396853941,25.442145833505386,25.56827545166016,0.0
1993-02-26,25.622329505206327,25.622329505206327,25.47818137859476,25.604310989379883,0.0
1993-03-01,25.69440657535572,25.69440657535572,25.496202878070363,25.53223991394043,0.0
1993-03-02,25.550240098849788,25.91061019897461,25.514203088837306,25.91061019897461,0.0
1993-03-03,25.946659922930014,26.036752492106853,25.91062289525928,26.018733978271484,0.0
1993-03-04,26.05475972157003,26.05475972157003,25.874574661254883,25.874574661254883,0.0
1993-03-05,25.91061463435935,26.01872568290327,25.78448507772477,25.80250358581543,0.0
1993-03-08,25.85656022764946,26.37909698486328,25.85656022764946,26.37909698486328,0.0
1993-03-09,26.325051848246183,26.343070364227188,26.234959268341168,26.28901481628418,0.0
1993-03-10,26.289015434672176,26.34307098388672,26.18090433624309,26.34307098388672,0.0
1993-03-11,26.361090586836283,26.433164655426403,26.234960966803573,26.27099800109864,0.0
1993-03-12,26.054766974181494,26.072785485228646,25.838544841615672,26.00071144104004,0.0
1993-03-15,25.98268871175832,26.1268367767334,25.98268871175832,26.1268367767334,0.0
1993-03-16,26.1268367767334,26.198910809220937,26.1268367767334,26.1268367767334,0.0
1993-03-17,26.09079973801898,26.09079973801898,25.92863316506168,25.96467018127441,0.0
1993-03-18,26.072781252367744,26.234947825464708,26.072781252367744,26.1268367767334,0.0
1993-03-19,26.232126294201567,26.232126294201567,26.087297439575195,26.087297439575195,0.0
1993-03-22,25.8338432032498,25.99677564111192,25.815739599042896,25.94246482849121,0.0
1993-03-23,26.014885911702446,26.032989520548444,25.960575085164443,25.996782302856445,0.0
1993-03-24,25.960575085164443,26.10540395593245,25.83384982324244,25.996782302856445,0.0
1993-03-25,26.01488488009232,26.214024569501515,25.9786776638361,26.159713745117188,0.0
1993-03-26,26.14161403924123,26.15971765007173,25.99678515259724,26.01488876342773,0.0
1993-03-29,26.03299040606017,26.2502337196017,26.03299040606017,26.12350845336914,0.0
1993-03-30,26.159725156255483,26.195932388305664,26.123517924205306,26.195932388305664,0.0
1993-03-31,26.268328686472785,26.340743100494763,26.177810668945312,26.177810668945312,0.0
1993-04-01,26.21402268737327,26.21402268737327,26.032986619090305,26.087297439575195,0.0
1993-04-02,25.870042788737383,25.870042788737383,25.544178009033203,25.544178009033203,0.0
1993-04-05,25.74334533594559,25.74334533594559,25.59851638890792,25.67093086242676,0.0
1993-04-06,25.72523412610045,25.72523412610045,25.5260943826894,25.598508834838867,0.0
1993-04-07,25.63471884858533,25.68902969360352,25.580408003567136,25.68902969360352,0.0
1993-04-08,25.7976552509639,25.7976552509639,25.544204602884253,25.6528263092041,0.0
1993-04-12,25.906267098444737,26.03299237425823,25.87005987678374,26.01488876342773,0.0
1993-04-13,25.99679177602132,26.15972431500753,25.97868816057841,26.06920623779297,0.0
1993-04-14,26.087281215174308,26.10538481074348,26.014866832897628,26.0329704284668,0.0
1993-04-15,26.014866832897628,26.087281215174308,25.92434885505177,26.0329704284668,0.0
1993-04-16,26.05107402403597,26.087281215174308,25.99676323732845,26.0329704284668,0.0
1993-04-19,26.03299147323523,26.105405914050905,25.9062662018078,25.92436981201172,0.0
1993-04-20,25.88815788135194,25.92436509517201,25.63470738461143,25.79763984680176,0.0
1993-04-21,25.851949718561062,25.851949718561062,25.70712086859714,25.7795352935791,0.0
1993-04-22,25.67092531944916,25.888168693097523,25.45368194580078,25.45368194580078,0.0
1993-04-23,25.39936354637146,25.471777982711792,25.308845500946045,25.34505271911621,0.0
1993-04-26,25.36315162444475,25.453669653083026,25.07349393280227,25.14590835571289,0.0
1993-04-27,25.109705763325053,25.41746711730957,25.109705763325053,25.41746711730957,0.0
1993-04-28,25.38126088209785,25.43557171137481,25.32695005282089,25.363157272338867,0.0
1993-04-29,25.417466137200787,25.47177696228028,25.27263727032215,25.47177696228028,0.0
1993-04-30,25.56230836628683,25.65282645540257,25.507997512817383,25.507997512817383,0.0
1993-05-03,25.5442055337688,25.67093086242676,25.435583823490543,25.67093086242676,0.0
1993-05-04,25.72522162452853,25.85194685420601,25.68901441604925,25.76142883300781,0.0
1993-05-05,25.761423108288685,25.92435551023851,25.761423108288685,25.83383750915528,0.0
1993-05-06,25.79764847011003,25.81575208307151,25.725234018264107,25.743337631225582,0.0
1993-05-07,25.761444153627767,25.761444153627767,25.652822463591388,25.68902969360352,0.0
1993-05-10,25.725234018264107,25.88816653491743,25.725234018264107,25.743337631225582,0.0
1993-05-11,25.74332615507751,25.851947784423828,25.670911735513297,25.851947784423828,0.0
1993-05-12,25.743326165732963,25.833844190225697,25.743326165732963,25.81574058532715,0.0
1993-05-13,25.707137308872024,25.707137308872024,25.489893894994232,25.507997512817383,0.0
1993-05-14,25.50797367231412,25.580388075926088,25.471766470508143,25.489870071411133,0.0
1993-05-17,25.562296857246675,25.580400466918945,25.45367519921305,25.580400466918945,0.0
1993-05-18,25.598508861855137,25.61661247491161,25.471783570459817,25.562301635742188,0.0
1993-05-19,25.5622928415546,26.087297439575195,25.399360380099928,26.087297439575195,0.0
1993-05-20,26.08729931260476,26.159713745117188,26.032988488220425,26.159713745117188,0.0
1993-05-21,26.177820354866583,26.21402757527441,25.9062662018078,25.92436981201172,0.0
1993-05-24,25.97865964175929,26.12348840631265,25.97865964175929,26.0329704284668,0.0
1993-05-25,26.141608260060085,26.141608260060085,26.087297439575195,26.087297439575195,0.0
1993-05-26,26.159721182338828,26.43127538146345,26.14161756906385,26.41317176818848,0.0
1993-05-27,26.44936852278047,26.44936852278047,26.28643606781468,26.322643280029297,0.0
1993-05-28,26.304554084456207,26.304554084456207,26.069207076130034,26.195932388305664,0.0
1993-06-01,26.28642370079088,26.539874067051944,26.250216505610723,26.44935607910156,0.0
1993-06-02,26.37696454163853,26.50368983456336,26.26834286198868,26.41317176818848,0.0
1993-06-03,26.35885049224392,26.35885049224392,26.268332461707367,26.322643280029297,0.0
1993-06-04,26.25022602542011,26.25022602542011,26.123500796331875,26.23212242126465,0.0
1993-06-07,26.286445723346063,26.286445723346063,26.141616821289062,26.141616821289062,0.0
1993-06-08,26.0691977446934,26.0691977446934,25.906265258789062,25.906265258789062,0.0
1993-06-09,25.996782302856445,26.10540395593245,25.960575085164443,25.996782302856445,0.0
1993-06-10,25.978681541766736,26.03299237425823,25.92437070927524,26.01488876342773,0.0
1993-06-11,26.105404843907344,26.159715672292727,26.01488679659837,26.12350845336914,0.0
1993-06-14,26.15971186688838,26.17781547371668,26.087297439575195,26.087297439575195,0.0
1993-06-15,26.12348840631265,26.14159200188182,26.0329704284668,26.0329704284668,0.0
1993-06-16,26.032986619090305,26.087297439575195,25.96057219177712,26.087297439575195,0.0
1993-06-17,26.141603461934324,26.177810668945312,26.08729265141784,26.177810668945312,0.0
1993-06-18,26.1628008424566,26.1628008424566,25.96224975585937,25.96224975585937,0.0
1993-06-21,26.03515962361454,26.03515962361454,25.98046391011955,26.01692771911621,0.0
1993-06-22,26.0533957868731,26.0533957868731,25.9987000644374,26.03516387939453,0.0
1993-06-23,26.03517930532934,26.03517930532934,25.79816436767578,25.79816436767578,0.0
1993-06-24,25.87108686279552,26.14456558227539,25.87108686279552,26.14456558227539,0.0
1993-06-25,26.126325607299805,26.19925324332856,26.108093698292617,26.126325607299805,0.0
1993-06-28,26.253955912145766,26.41804313659668,26.217492084490008,26.41804313659668,0.0
1993-06-29,26.38158775996236,26.38158775996236,26.253964322284585,26.290428161621094,0.0
1993-06-30,26.3268920009576,26.38158775996236,26.253964322284585,26.290428161621094,0.0
1993-07-01,26.32687113712825,26.32687113712825,26.18101589537132,26.217479705810547,0.0
1993-07-02,26.1263262061806,26.144558115605708,25.98047093077973,26.07163047790528,0.0
1993-07-06,26.03517930532934,26.10810697845352,25.761700531113696,25.79816436767578,0.0
1993-07-07,25.77992464943281,25.907548038786445,25.77992464943281,25.87108421325684,0.0
1993-07-08,25.889330528339027,26.217505140670088,25.852866682524468,26.16280937194824,0.0
1993-07-09,26.16279584156961,26.2357234954834,26.10810010113428,26.2357234954834,0.0
1993-07-12,26.19924780059093,26.235711611030165,26.16278399015169,26.217479705810547,0.0
1993-07-13,26.23571690006561,26.30864453564606,26.053397811114497,26.19925308227539,0.0
1993-07-14,26.21750048294808,26.363355840294105,26.199268563279823,26.290428161621094,0.0
1993-07-15,26.27218219363922,26.27218219363922,26.12632691428522,26.18102264404297,0.0
1993-07-16,26.19925471923871,26.21748662927297,26.071631348998853,26.108095169067383,0.0
1993-07-19,26.10809664189774,26.10809664189774,26.01693708658385,26.08986473083496,0.0
1993-07-20,26.07164975741184,26.16280937194824,25.94402629706088,26.16280937194824,0.0
1993-07-21,26.1263336676434,26.14456558227539,26.053406009115434,26.14456558227539,0.0
1993-07-22,26.10810509156645,26.144568925493218,25.96224975585937,25.96224975585937,0.0
1993-07-23,26.01693708658385,26.08986473083496,25.99870517552107,26.08986473083496,0.0
1993-07-26,26.16279584156961,26.290419235918733,26.16279584156961,26.2357234954834,0.0
1993-07-27,26.253943516249784,26.2721754214694,26.12632017971245,26.217479705810547,0.0
1993-07-28,26.16280937194824,26.217505140670088,26.126345526133683,26.16280937194824,0.0
1993-07-29,26.21749330442644,26.38158053651256,26.18102947507397,26.308652877807617,0.0
1993-07-30,26.308664755206493,26.308664755206493,26.126345526133683,26.16280937194824,0.0
1993-08-02,26.199259668526505,26.326883062875627,26.199259668526505,26.2357234954834,0.0
1993-08-03,26.290431128607857,26.36335881551107,26.16280767652724,26.25396728515625,0.0
1993-08-04,26.25396728515625,26.30866305033366,26.18103959825304,26.25396728515625,0.0
1993-08-05,26.253948808960725,26.253948808960725,26.162789264485166,26.19925308227539,0.0
