Datetime,Open,High,Low,Close,Adj Close,Volume
2022-10-06 09:30:00-04:00,375.8299865722656,375.8500061035156,375.78131103515625,375.80999755859375,375.80999755859375,2863925
2022-10-06 09:31:00-04:00,375.7900085449219,376.46771240234375,375.7200012207031,376.4100036621094,376.4100036621094,364367
2022-10-06 09:32:00-04:00,376.4200134277344,376.8399963378906,376.239990234375,376.739990234375,376.739990234375,271143
2022-10-06 09:33:00-04:00,376.7200012207031,376.989990234375,376.71990966796875,376.9800109863281,376.9800109863281,212372
2022-10-06 09:34:00-04:00,376.989990234375,377.04998779296875,376.3500061035156,376.8599853515625,376.8599853515625,214090
2022-10-06 09:35:00-04:00,376.8599853515625,376.9100036621094,376.510009765625,376.80999755859375,376.80999755859375,210816
2022-10-06 09:36:00-04:00,376.79998779296875,376.9263000488281,376.55999755859375,376.8299865722656,376.8299865722656,255786
2022-10-06 09:37:00-04:00,376.80999755859375,376.80999755859375,376.1600036621094,376.4200134277344,376.4200134277344,205888
2022-10-06 09:38:00-04:00,376.4200134277344,376.95001220703125,376.2699890136719,376.9020080566406,376.9020080566406,159401
2022-10-06 09:39:00-04:00,376.8999938964844,377.6199951171875,376.8599853515625,377.6007080078125,377.6007080078125,539010
2022-10-06 09:40:00-04:00,377.6099853515625,377.989990234375,377.4700012207031,377.9700012207031,377.9700012207031,368770
2022-10-06 09:41:00-04:00,377.989990234375,378.0546875,377.70001220703125,377.90631103515625,377.90631103515625,389946
2022-10-06 09:42:00-04:00,377.9200134277344,378.3900146484375,377.9100036621094,378.3599853515625,378.3599853515625,270395
2022-10-06 09:43:00-04:00,378.3800048828125,378.7200012207031,378.3299865722656,378.5299987792969,378.5299987792969,393576
2022-10-06 09:44:00-04:00,378.5199890136719,378.54998779296875,377.8900146484375,378.0299987792969,378.0299987792969,392197
2022-10-06 09:45:00-04:00,378.0299987792969,378.17999267578125,377.9100036621094,378.0,378.0,293843
2022-10-06 09:46:00-04:00,378.0,378.1300048828125,377.8399963378906,378.0050048828125,378.0050048828125,180174
2022-10-06 09:47:00-04:00,378.0,378.0398864746094,377.239990234375,377.25,377.25,372338
2022-10-06 09:48:00-04:00,377.25,377.3999938964844,377.17999267578125,377.260009765625,377.260009765625,221151
2022-10-06 09:49:00-04:00,377.260009765625,377.3699951171875,376.8599853515625,377.1650085449219,377.1650085449219,244076
2022-10-06 09:50:00-04:00,377.1400146484375,377.4200134277344,376.95001220703125,377.4200134277344,377.4200134277344,198405
2022-10-06 09:51:00-04:00,377.4200134277344,377.81500244140625,377.3699951171875,377.7799987792969,377.7799987792969,240358
2022-10-06 09:52:00-04:00,377.75,377.7699890136719,377.18499755859375,377.3500061035156,377.3500061035156,190630
2022-10-06 09:53:00-04:00,377.3399963378906,377.79998779296875,377.29998779296875,377.6700134277344,377.6700134277344,161126
2022-10-06 09:54:00-04:00,377.6600036621094,378.1684875488281,377.6199951171875,377.760009765625,377.760009765625,240745
2022-10-06 09:55:00-04:00,377.7319030761719,377.760009765625,377.15008544921875,377.1759948730469,377.1759948730469,226731
2022-10-06 09:56:00-04:00,377.1600036621094,377.260009765625,376.95001220703125,377.0799865722656,377.0799865722656,204636
