Date,Open,High,Low,Close,Volume
1980-12-12,0.100039504468441,0.1004744346976205,0.100039504468441,0.100039504468441,469033600
1980-12-15,0.0952553104301559,0.0952553104301559,0.0948203802108764,0.0948203802108764,175884800
1980-12-16,0.0882956874755025,0.0882956874755025,0.0878607630729675,0.0878607630729675,105728000
1980-12-17,0.0900353714823722,0.0904703015703657,0.0900353714823722,0.0900353714823722,86441600
1980-12-18,0.0926457494497299,0.0930806738754091,0.0926457494497299,0.0926457494497299,73449600
1980-12-19,0.0982997640967369,0.0987346941884484,0.0982997640967369,0.0982997640967369,48630400
1980-12-22,0.103083997964859,0.1035197063417569,0.103083997964859,0.103083997964859,37363200
1980-12-23,0.1074340268969535,0.1078689570322743,0.1074340268969535,0.1074340268969535,46950400
1980-12-24,0.1130880936980247,0.1135230238713647,0.1130880936980247,0.1130880936980247,48003200
1980-12-26,0.1235271245241165,0.123962054691042,0.1235271245241165,0.1235271245241165,55574400
1980-12-29,0.1252668499946594,0.1257017802185866,0.1252668499946594,0.1252668499946594,93161600
1980-12-30,0.1226573124747241,0.1226573124747241,0.1222223937511444,0.1222223937511444,68880000
1980-12-31,0.1191778879886869,0.1191778879886869,0.1187429577112197,0.1187429577112197,35750400
1981-01-02,0.1200477108359336,0.1209175712017982,0.1200477108359336,0.1200477108359336,21660800
1981-01-05,0.1178730336079744,0.1178730336079744,0.1174381151795387,0.1174381151795387,35728000
1981-01-06,0.1126531386884641,0.1126531386884641,0.1122182086110115,0.1122182086110115,45158400
1981-01-07,0.1078689570322743,0.1078689570322743,0.1074340268969535,0.1074340268969535,55686400
1981-01-08,0.105694314642884,0.105694314642884,0.105259396135807,0.105259396135807,39827200
1981-01-09,0.11091348528862,0.1113484155829051,0.11091348528862,0.11091348528862,21504000
1981-01-12,0.1109134789280597,0.1109134789280597,0.1100436300039291,0.1100436300039291,23699200
1981-01-13,0.1065641815694037,0.1065641815694037,0.1061292514204979,0.1061292514204979,23049600
1981-01-14,0.1065641567111015,0.1069990867585509,0.1065641567111015,0.1065641567111015,14291200
1981-01-15,0.1087388396263122,0.109608688460976,0.1087388396263122,0.1087388396263122,14067200
1981-01-16,0.1083038771839465,0.1083038771839465,0.1078689470887184,0.1078689470887184,13395200
1981-01-19,0.1143928989768028,0.1148278292504161,0.1143928989768028,0.1143928989768028,41574400
1981-01-20,0.1113484155829051,0.1113484155829051,0.11091348528862,0.11091348528862,30083200
1981-01-21,0.1130880936980247,0.1139579424301516,0.1130880936980247,0.1130880936980247,15904000
1981-01-22,0.1143928989768028,0.1152627595240294,0.1143928989768028,0.1143928989768028,35548800
1981-01-23,0.1143928492649985,0.1148277793496039,0.1139579191803932,0.1139579191803932,11222400
1981-01-26,0.1126531386884641,0.1126531386884641,0.1122182086110115,0.1122182086110115,24640000
1981-01-27,0.112218246866694,0.112218246866694,0.1113483980298042,0.1113483980298042,23699200
1981-01-28,0.1083038771839465,0.1083038771839465,0.1078689470887184,0.1078689470887184,28156800
1981-01-29,0.104389550843271,0.104389550843271,0.1039546206593513,0.1039546206593513,43904000
1981-01-30,0.0991696242801599,0.0991696242801599,0.0982997640967369,0.0982997640967369,46188800
1981-02-02,0.0930806738754091,0.0930806738754091,0.0926457494497299,0.0926457494497299,23766400
1981-02-03,0.0961251258850097,0.0965600501197557,0.0961251258850097,0.0961251258850097,19152000
1981-02-04,0.0996045693755149,0.1000394879181881,0.0996045693755149,0.0996045693755149,27865600
